L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
997;PL030-0235;Podczas lotu w niskiej temperaturze otaczającego powietrza należy się spodziewać:;Zmniejszenia wydajności palnika i zwiększenia bezwładności balonu;Zwiększenia wydajności palnika i zmniejszenia bezwładności balonu;Zmniejszenia wydajności palnika i zmniejszenia bezwładności balonu;Zwiększenia bezwładności palnika i zmniejszenia bezwładności balonu
998;PL030-0236;Podczas wznoszenia w warunkach inwersji należy się spodziewać:;Konieczności zwiększenia temperatury w powłoce w większym stopniu niż zwykle;Możliwości zmniejszenia temperatury w powłoce, ponieważ balon w warunkach inwersji wznosi się samoczynnie;Zakłóceń łączności radiowej, i wskazań przyrządów pokładowych;Ruchu obrotowego powłoki spowodowanego siłą Coriolisa
999;PL030-0237;Podczas lotu po stronie zawietrznej przeszkód terenowych należy się spodziewać:;Zawirowań powietrza, powodujących zmianę kierunku i prędkości pionowych lotu;Zawirowań powietrza powodujących tylko zmianę kierunku lotu;Zawirowań powietrza powodujących tylko zmianę prędkości poziomych lotu;Po stronie zawietrznej przeszkód terenowych nie zachodzą żadne istotne zjawiska
1000;PL030-0238;Ciężar startowy musi być w stosunku do maksymalnego ciężaru startowego:;Mniejszy lub równy;Większy;Mniejszy albo większy;Między ciężarem maksymalnym, a ciężarem startowym nie zachodzą żadne zależności
1001;PL030-0239;Opadanie balonu z dużą prędkością może powodować;Spłaszczenie powłoki i wyciśnięcie z niej części gorącego powietrza;Zgaszenie płomieni pilotowych;Niekontrolowane otwarcie klapy spadochronowej;Deformację pierścienia korony
1002;PL030-0240;Wznoszenie balonu z dużą prędkością może spowodować;Niekontrolowane otwarcie klapy spadochronowej;Zgaszenie płomieni pilotowych;Spłaszczenie powłoki i wyciśnięcie z niej części gorącego powietrza;Deformację ramy palnika
1003;PL030-0241;Podczas planowania lotu w pobliżu dużych akwenów i w górach należy również uwzględnić:;Wpływ odpowiednio: bryzy lub wiatru gór i dolin;Zabranie na pokład odpowiednio: płetw lub czekana;Książki sygnałów i kodów stosowanych w Marynarce Wojennej i piechocie górskiej;Nie ma potrzeby uwzględniać w planowaniu jakichkolwiek innych niż zwykle elementów
1004;PL030-0242;Zużycie gazu w czasie lotu balonu wraz ze wzrostem temperatury zewnętrznej;Rośnie;Maleje;Nie zmienia się;Maleje, ale tylko przy temperaturze zewnętrznej wyższej niż 300C
1005;PL030-0243;Warunki meteorologiczne optymalne do lotu balonem występują najczęściej przez:;3 godziny po wschodzie słońca i 2 godziny przed zachodem słońca;1 godzinę przed południem i 1 godzinę po południu;2 godziny po rozpoczęciu formowania się chmur Cumulus;3 godziny przed południem i 3 godziny po południu
1006;PL030-0244;Planowanie lotu tuż przed frontem chłodnym jest:;Nie polecane ze względu na niebezpieczne zjawiska atmosferyczne;Polecane ze względu możliwość uzyskania większego ciężaru startowego;Polecane ze względu na możliwość wykorzystania zmiennych kierunków wiatru;Polecane ze względu na zwiększoną widoczność
1007;PL030-0245;Planowanie lotu wysokościowego balonem pod względem obliczenia udźwigu wymaga:;Posiadania informacji o temperaturze i ciśnieniu atmosferycznym w całym zakresie planowanych wysokości lotu;Posiadania informacji o temperaturze i ciśnieniu atmosferycznym jedynie do wysokości 3000 m;Obliczeń dokonuje się tylko w stosunku do wysokości startu, bo im wyżej tym zimniej, a więc nośność balonu będzie rosła wraz z wysokością;Nie istnieje konieczność obliczania udźwigu, balony produkowane są z wystarczającym współczynnikiem bezpieczeństwa
1008;PL030-0246;Wraz ze wzrostem ciężaru startowego bezwładność balonu:;rośnie;maleje;nie zmienia się;między ciężarem startowym, a bezwładnością balonu nie zachodzi żaden związek
1009;PL030-0247;Wraz ze zmniejszaniem ciężaru startowego bezwładność balonu:;maleje;rośnie;nie zmienia się;między ciężarem startowym, a bezwładnością balonu nie zachodzi żaden związek
1010;PL030-0248;Wykonując lot na niskiej wysokości (np. w procedurze i startu i lądowania) należy uwzględnić między innymi:;Zachowanie takich parametrów lotu, aby nie stwarzać zagrożenia dla osób i ich mienia na ziemi;Większe błędy wskazań przyrządów spowodowane dużą ilością metalu w gospodarstwach rolnych;Zwiększoną wartość przyciągania ziemskiego;Większe błędy wskazań przyrządów spowodowane zwiększonym uchybem paralaksy
1011;PL030-0249;Do obliczenia długości planowanego lotu balonu korzystamy z:;Iloczynu prędkości wiatru i czasu w jakim zużyjemy zabraną ilość gazu w butli (oprócz rezerwy);Sumy prędkości wiatru i czasu w jakim zużyjemy zabraną ilość gazu w butli (oprócz rezerwy);Różnicy prędkości wiatru i czasu w jakim zużyjemy zabraną ilość gazu w butli (oprócz rezerwy);Karty załadowania balonu
1012;PL030-0250;Prędkość lotu balonu zależna jest od:;Prędkości masy powietrza w jakiej znajduje się balon;Sumy kwadratów ciśnienia i wilgotności względnej powietrza;Odchylenia standardowego;Ciężaru startowego balonu
1013;PL030-0251;Rejon lądowania wybrany przed lotem nie powinien:;Stanowić rozległych lasów, miast, akwenów oraz miejsc o utrudnionym dostępie;Znajdować się wyżej niż miejsce lądowania;Znajdować się w pobliżu izogony, o ile jej wartość przekracza 50;Miejsc uczęszczanych przez rowerzystów
1014;PL030-0252;Wyższe położenie miejsca startu balonu nad poziomem morza powoduje:;zmniejszenie dopuszczalnego ciężaru startowego;zwiększenie dopuszczalnego ciężaru startowego;nie ma żadnego wpływu na dopuszczalny ciężar startowy;ma wpływ na dopuszczalny ciężar startowy, ale tylko do wysokości 500 m AMSL
1015;PL030-0253;Lot w inwersji może spowodować:;Przekroczenie dopuszczalnej temperatury powłoki;zmniejszenie ciśnienia gazu w butlach;trudności w użyciu klapy spadochronowej;nie może powodować żadnych skutków dla lotu balonem
1016;PL030-0254;Krzywa załadowania balonu pozwala określić:;dopuszczalny ciężar startowy w zależności od temperatury zewnętrznej, planowanej wysokości lotu i pojemności powłoki;dopuszczalny ciężar startowy w zależności od prędkości wiatru przy ziemi i na planowanej wysokości lotu;ciśnienie gazu w powłoce balonu w zależności od czasu użycia palnika;dopuszczalny ciężar startowy w zależności od temperatury zewnętrznej bez uwzględniania wysokości lotu
1017;PL030-0255;Wpływ termiki na balon w locie:;termika ma wpływ na lot balonu i należy to uwzględniać przy obliczaniu ciężaru startowego;termika nie ma istotnego wpływu na lot balonu;termika ma wpływ na lot balonu, ale nie należy tego uwzględniać przy obliczaniu ciężaru startowego;termika nie ma żadnego wpływu na lot balonu
1018;PL030-0256;Ciężar rozporządzalny (ciężar jakim możemy załadować balon) to:;dopuszczalny (w danych warunkach) ciężar startowy minus ciężar balonu (bez butli paliwowych, wyposażenia i załogi);maksymalny ciężar startowy minus ciężar balonu (bez butli paliwowych, wyposażenia i załogi);suma ciężaru balonu, butli paliwowych, wyposażenia i załogi;iloraz maksymalnego ciężaru startowego i ciężaru balonu minus ciężar załogi i wyposażenia
1019;PL040-0001;Czynnikiem nie wpływającym na występowanie choroby dekompresyjnej jest :;płeć;czas trwania ekspozycji na obniżone ciśnienie atmosferyczne;temperatura;wysokość
1020;PL040-0002;Działanie kanałów półkolistych wynika z :;odchylania rzęsek komórek sensorycznych przez bezwładnościowy ruch endolimfy;oddziaływania przyspieszeń liniowych na komórki nerwu przedsionkowego;odchylania rzęsek komórek sensorycznych przez kryształy węglanu wapnia /otoconia/;odbiorze wibracji przez wyspecjalizowane zakończenia nerwowe
1021;PL040-0003;W lotach wysokościowych uszkodzenie oka typu termicznego związane jest z :;absorbcją energii świetlnej przez siatkówkę i wyzwoleniem energii cieplnej;zmętnieniem ośrodków optycznych;uszkodzeniem aparatu obronnego oka;stanem zapalnym i wybroczynami krwawymi
1022;PL040-0004;„Fizjologiczna próżnia” jest wysokością gdzie ciśnienie atmosferyczne nie obniża się poniżej :;8 mmHg;20-30 mmHg;145 mmHg;47 mmHg
1023;PL040-0005;Adaptacją nazywamy:;zdolność przystosowania się oka do danego oświetlenia;zdolność oka w rozpoznawaniu barw;zdolność przechodzenia promieni przez soczewkę;zdolność przejścia promieni przez ciało szkliste
1024;PL040-0006;Aklimatyzacja ustroju pilota do niskich temperatur otoczenia umożliwia:;utrzymanie stałej temperatury wewnętrznej organizmu, nawet w warunkach wielokrotnego wzrostu utraty ciepła;zmniejszone zapotrzebowanie kaloryczne;nie korzystaniez kombinezonów z ociepleniem;loty wysokościowe bez aparatury tlenowej
1025;PL040-0007;Akomodacja jest spowodowana:;zmianą kształtu soczewki;zmianami w rogówce;zmianami w ciele szklistym;zmianami na dnie oka
1026;PL040-0008;Aktywne słuchanie to:;utrzymywanie odpowiedniego kontaktu wzrokowego i koncentracji uwagi, świadomość postawy ciała oraz gestykulacji, okazywanie empatycznego zrozumienia, przyjęcie akceptującej postawy wobec rozmówcy;budowanie takiego nastawienia w rozmowie, które jest istotne dla mojej sytuacji;dobre przygotowanie merytoryczne i wysłuchiwanie rozmówcy w skupieniu;pełne nastawienie kontaktu na odbiorcę pozbawione elementów mojej aktywności, która mogłaby go zakłócić
1027;PL040-0009;Alkohol jest substancją uzależniającą i psychoaktywną :;oba stwierdzenia są prawdziwe;jest substancją psychoaktywną, ale nie uzależniającą;jest substancją uzależniającą, ale nie psychoaktywną;oba stwierdzenia są fałszywe
1028;PL040-0010;Alkohol jest szybciej wydalany po tłustych posiłkach;zdanie powyższe jest fałszywe, a tłusty posiłek jedynie spowalnia wchłanianie alkoholu do krwi;zdanie jest prawdziwe, aby szybciej pozbyć się alkoholu z krwi należy tłusto zjeść;zdanie jest fałszywe,a tłusty posiłek nie ma wpływu na wchłanianie alkoholu do krwi;zdanie jest prawdziwe, ale wydalanie alkoholu zależy od ilości jedzenia
1029;PL040-0011;Alkohol powoduje obniżoną zdolność wykorzystania tlenu przez komórki mózgu :;teza jest prawdziwa;teza jest fałszywa;teza jest prawdziwa jedynie podczas lotów z użyciem aparatury tlenowej;teza jest fałszywa podczas lotów powyżej 4000 m
1030;PL040-0012;Alkohol spożywany bezpośrednio przed lotem w ilości 100 ml :;jest zabroniony ze względu na upośledzenie wykonywania czynności złożonych;poprawia jakość pilotażu;powoduje lepsze kojarzenie faktów;polepsza krążenie i powoduje lepsze wykorzystanie tlenu przez mózg
1031;PL040-0013;Alkohol spożywany przed lotem :;nawet w małej ilości upośledza zdolność wykonywania czynności złożonych i jakość wykonywania czynności pilota;nie upośledza zdolności wykonywania czynności złożonych i jakości wykonywania czynności pilota;nawet w małej ilości powoduje halucynacje;w małej ilości jest dopuszczalny bezpośrednio i w czasie lotu
1032;PL040-0014;Alkohol wpływa negatywnie na narząd równowagi oraz zaburza pracę narządu wzroku:;oba zdania są prawdziwe;pierwsze zdanie jest prawdziwe, a drugie fałszywe;pierwsze zdanie jest fałszywe, a drugie pwawdziwe;oba zdania są fałszywe
1033;PL040-0015;Asertywność relacjach międzyludzkich to:;zachowanie, w którym potrafimy wyrazić siebie z pełną wiarą we własne możliwości, nie zachowując się biernie , ulegle, czy manipulująco;nastawienie na unikanie konfliktów i postawy uległe;stanowcza i władcza postawa w kontaktach z ludźmi;umiejętność instrumentalnego manipulowania ludźmi
1034;PL040-0016;Automatyzm czynności to:;wyćwiczone czynności poznawcze i ruchowe odbywające się z niewielkimudziałem uwagi i nie podlegające zakłóceniom w czasie wypełniania innychrównoczesnych zadań;czynności wykonywane w czasie transu somnambulicznego;najprostszy sposób wykonywania rutynowych czynności;wyćwiczone czynności poznawcze i ruchowe odbywające się z udziałem woli człowieka w sytuacji stresowej lecz objęte niepamięcią wsteczną
1035;PL040-0017;Automatyzmy to:;dobrze wyćwiczone czynności poznawcze i ruchowe wykonywane bez aktywnego udziału świadomej uwagi;stereotypie ruchowe;ruchy ciała nieświadomie wykonywane w czasie głębokiej fazy snu;koordynacja reakcji i działań w procesie uczenia się nowych czynności
1036;PL040-0018;Badania w KNC mające na celu określenia stopnia oporności u stroju na wpływ niedoboru tlenu wykonuje się rutynowo w ciśnieniu odpowiadającym wysokości:;5500m / połowa strefy niepełnej kompensacji/;8000m strefę śmierci;3000m / połowa strefy pełnej kompensacji/;6000m / próg krytyczny/
1037;PL040-0019;Badanie rutynowe oceniające odporność ustroju na wpływ niedoboru tlenu odbywa się w komorze niskich ciśnień na wysokości :;5000 mnpm;10000 mnpm;8000 m npm;7500 mnpm
1038;PL040-0020;Błąd orientacji w czynnościach pilota to:;niewłaściwy, niepełny lub zdeformowany odbiór informacji związanych z analizą warunków przebiegu lotu;brak angażowania możliwości analitycznych centralnego systemu nerwowego;zaniechanie analizy trasy lotu;nieuważna obserwacja przyrządów pokładowych
1039;PL040-0021;Ból ucha przy zmniejszaniu wysokości może być spowodowany:;niedrożnością trąbki słuchowej po stronie bólu;niedrożnością trąbki słuchowej po stronie przeciwnej do bólu;obustronnie niedrożnymi trąbkami słuchowymi;ciśnienie parcjalne tlenu O2 w przybliżeniu wynosiok. 20% całkowitego ciśnienia atmosferycznego
1040;PL040-0022;Ból zatok obocznych nosa z powodu uwięzienia w nich powietrza może zdarzyć się u pilotów podczas;zmniejszania wysokości oraz znacznie rzadziej podczas zwiększania wysokości;zwiększania wysokości oraz znacznie rzadziej podczas zmniejszania wysokości;lotu poziomego;tak samo często podczas zwiększania i zmniejszania wysokości
1041;PL040-0023;Centralny układ nerwowy składa się z:;mózgowia i rdzenia kręgowego;tylko mózgu;tylko rdzenia kręgowego;narządów zmysłów
1042;PL040-0024;Choroba dekompresyjna jest;chorobą związaną z formowaniem się pęcherzyków gazu we krwi i innych tkankach organizmu z powodu zbyt szybkiej zmiany ciśnienia otaczającego (nagłej dekompresji);związana z dekompresją długo tłumionych emocji;bezpośrednim następstwem zbyt szybkiego oddychania 100% tlenem;stanem nie występującym w lotnictwie, a jedynie podczas nurkowania na znacznej głębokości
1043;PL040-0025;Choroba dekompresyjna jest powodowana przez:;obniżenie ciśnienia otaczającego;wzrost ciśnienia otaczającego;niedobór azotu w powietrzu pęcherzykowym;spadek ciśnienia parcjalnego tlenu
1044;PL040-0026;Choroba dekompresyjna określana jest też jako:;choroba kesonowa;choroba wysokościowa;choroba powietrzna;dysbaryzm
1045;PL040-0027;Choroba dekompresyjna występuje najczęściej od wysokości:;od około 9.000 m npm;od około 5.000 m npm;po przekroczeniu prędkości dźwięku;wysokość nie ma wpływu na jej występowanie
1046;PL040-0028;Choroba powietrzna :;jest synonimem choroby lokomocyjnej w samolocie;jest wywołana brakiem powietrza;jest wywołana nadmiarem powietrza;jest spowodowana spadkiem ciśnienia atmosferycznego
1047;PL040-0029;Choroba powietrzna :;występuje częściej u pasażerów niż u pilotów;występuje częściej u pilotów niż u pasażerów;występuje równie często u pilotów jak i u pasażerów;nie ma znaczenia ani dla pilota ani dla pasażera
